DATE,CPILFENS_PC1
2017-07-01,1.69207
2017-08-01,1.68440
2017-09-01,1.69259
2017-10-01,1.77355
2017-11-01,1.71129
2017-12-01,1.77575
2018-01-01,1.82140
2018-02-01,1.84755
2018-03-01,2.11708
2018-04-01,2.13915
2018-05-01,2.23718
2018-06-01,2.25503
2018-07-01,2.35417
2018-08-01,2.19916
